,Fish,Current_BB,Current_F,cluster,cluster_names
320,WINDOWSNEMATL,0.562,1.26,1,Never Eat Me
241,GAGGM,0.5579999999999999,0.7,1,Never Eat Me
57,SARDINWA,0.55,3.04,0,Avoid Me
161,BMARLINATL,0.55,1.72,1,Never Eat Me
193,YEYEROCKPCOAST,0.5329999999999999,0.312,1,Never Eat Me
252,OROUGHYSE,0.519,0.305,1,Never Eat Me
228,POPERCHPCOAST,0.488,0.45,1,Never Eat Me
43,WAREHOUESE,0.488,0.847,1,Never Eat Me
316,GRAMBERGM,0.478,1.53,1,Never Eat Me
287,SARDMEDGSA16,0.47,1.07,1,Never Eat Me
318,BKCDLFENI,0.429,4.16,0,Avoid Me
267,PACBTUNA,0.42,2.71,0,Avoid Me
163,WAREHOUWSE,0.413,0.233,1,Never Eat Me
360,STMARLINNPAC,0.387,2.68,0,Avoid Me
487,SBARSHARATL,0.38,3.73,0,Avoid Me
428,OROUGHYNZMEC,0.371,2.5,0,Avoid Me
2,NZSNAPNZ8,0.353,2.5,0,Avoid Me
276,WHAKEGBGOM,0.35200000000000004,1.17,1,Never Eat Me
198,STMARLINWCNPAC,0.35,1.22,1,Never Eat Me
286,MORWONGSE,0.313,0.7190000000000001,1,Never Eat Me
36,GEMFISHSE,0.249,0.21,1,Never Eat Me
465,YELLCCODGOM,0.247,1.73,1,Never Eat Me
449,SBT,0.23,0.76,1,Never Eat Me
85,CODGOM,0.18100000000000002,4.88,0,Avoid Me
354,WINDOWGOMGB,0.17300000000000001,3.91,0,Avoid Me
314,CODVIa,0.16899999999999998,4.86,0,Avoid Me
497,WINFLOUNSNEMATL,0.162,0.172,1,Never Eat Me
475,WEAKFISHATLC,0.131,3.5,0,Avoid Me
187,YELLSNEMATL,0.128,1.61,1,Never Eat Me
472,CODGB,0.11900000000000001,1.29,1,Never Eat Me
323,RSNAPSATLC,0.105,5.04,0,Avoid Me
356,BKINGCRABPI,0.0819,3.91,0,Avoid Me
282,COD2J3KL,0.0663,0.24100000000000002,1,Never Eat Me
448,ATHAL5YZ,0.0264,0.89,1,Never Eat Me
